,text
642,"Gw sih seneng david review aksesoris semacam gini
Cuma berdoa aja, biar barang2 yg di review gk naik aja harganya abis ini"
643,Next borong mic Bluetooth bang ..
644,"bang masukan dikit pas review barang kalo makan atau minum sambil duduk dong, biar tetep sehat bang david. thanks bang"
645,"Eggel dong , produk asli indonesia,, saya pakai active 2 pro"
646,review projector portable wireless murah bang
647,"Gabut sih ,momen langka lucu kmu bang klo dengerinnya ,mantap semangat konten , jujur bet klo ngeriview"
648,"Gue pake RB100 udah 2thnan garusak rusak, padahal dipake tiap hari "
649,"Speaker bluetooth yg under 400 rb masih cinta sama Sony SRS-XB0, masih jadi juara menurut gua"
650,"Masih setia sama JBL Go 2, udh 4 taun lebih masih awet smpe skrg, suara jg ga ngecewain"
651,"merk kisonli sm advance mana yg bagus bg,?"
652,Ketebak sih Eggel bakalan menang dibanding speaker sebelumnya.
653,thanks bang.. bermanfaat banget
654,Yg terakhir paling mantap bang kalo 300an 
655,"Yah, yang acome a5 sekarang harga nya naik jadi 99ribu"
656,"wahh, cocok jadi kritikuss lagu nih, wkwk "
657,lebih enak beli speaker atau soundbar?
658,"Kok bisa pas, syaa juga lagi nyari bluetooth speaker.. Tapi syaa ngincar yang harga 4 ratus ribu sampai 1 juta.. Belum nemu yang pas, soal bass nya"
659,"Eggel emang bener bener bagus. Gw beli tws eggel berkat rekomendasi om david & eggel jadi tws paling murah yg delay suaranya sangat minim, cocok buat main game fps di mobile."
660,17:28 robot rb100 sama kek punyaku bang..harga murah bass nampol..menurukuu..heheee..
661,ini semua kalo pake fio q3 gua langsung mantul atau ngak jebol gara gara di boost wkwkwk
662,Speaker andalan dirumah Polytron pas 79.... Pake listrik sih tapi bass nya gila
663,bang bikin yang kaya gini dong tapi yang proyektor pl🥹
664,"Ini baru mantap  tidak hanya mulu hp doang yang dibahas tapi merambah ke elektronik lainnya...sip
Semoga David jadi muslim...."
665,Review gamepad bluetooth bwt hp dan pc bang
666,"sekarang gua kalo nabung ga perlu di bank, di🅳𝗢𝗞𝗨𝟲𝟯𝟯 juga bisa kalo menang 14 juta kaya kemaren gua narik ( WD )nya sedikit2 banget "
667,"Speaker murah yang paling kenceng apa ya, butuh buat nyetel video di kelas"
668,Bikin yang speaker aktif juga bang
669,Yang ada jek auxnya sama batrenya paling awet yang apa bang
670,"Waduh ketinggalan acara sy... 
Sy rasa merk LENYES patut masuk untuk bersaing bareng eggel.. Bukan sales ya."
671,rekomendasi speaker untuk outdoor yg keras dong
672,"langsung ngecek live acome di tiktok, ternyata banyak yg kya gua ngeceknya krna habis nnton video ini. si admin live nya aja kaget, soalnya mereka belum nonton. emg luar biasa sih david effect"
673,"Syg sih y bang saya krg suka speaker blth yg gede but dirmh ok klw dibawa kmn"" mndng yg standar sedang aja"
674,Saya harap Eggel bikin soundbar tv terbaiknya
675,Egle sama acone a10 oke keren sih wkwk
676,34:42 ekspresi terbaik
677,Bang coba review TWS terbaik untuk tahun 2022
678,Terima kasih infonya.. kebeneran lg mau beli blutut spiker.
679,"Nonton pake eggel tera 3 mini ,senyum2 sendiri,, sayangnya gk d review "
680,"Bang, mau nanya speaker terakhir milik abang apa namanya.??"
681,33:35 Epic Moment
682,"36:22 humor gue sebatas ""mbak nya belum minum"" "
683,yg trkhir itu merk apa? yg ga trmasuk 20 unit nya
684,"Buat David @Gadgetin... Kalo mau test reproduksi suara speaker lebih bagus make alat musik drums unplug (dgn performa solo Drums) semuanya full range yg pure analog acoustic dgn dynamic range yg paling luas dimulai dari yg Low freq (Bass drum, Floor Toms1, 2), Midrange freq. (Cow bell, Tom-toms 1, 2, 3, n, Hi midrange Snare drum), n Hi freq (Hi hat, cymbals)... Test sound dgn pure analog acoustic musical instrument lebih akurat di bandingkan dgn musik digital musical instruments (synthesizer) yg genre pop. tekno/hip-hop etc... Unplug musical instruments such as classical music sangat/lebih perfect untuk menguji/membandingkan sumber suara asli vs suara replika dari speaker system...

ini contoh drums solo dari si Neil peart (salah satu Dewa Drums dunia) https://youtu.be/Ies3DkRbe-Q 

# Sekedar-Masukan-Aja"
685,Apapun jenisnya JBL yang kucari 
686,"Bang, rekomendasiin MP3 player donggg plissss"
687,"46:23 diisi dulu bang gelasnya, baru diminum. Masa minum angin."
688,"Aku aja beli yang harus dibawah 150k kalau bisa
Kalau lebih mahal berasanya 
Kalau ga gitu ikut acara giveaway aja "
689,Yesss ini yg saya tunggu2
690,"Bang, mau nanya speaker terakhir milik abang apa namanya.??"
691,Review yang 1Jt ke atas bang yang kisaran 1-5 Jt
692,Klo GMC masuk pasti menang telak dari semua yg d konten ini.
693,pake spiker X60 hadiah dari beli Vivo V21 5G aja uda seneng bang
694,BANG coba buat mouse produktif ter enak untuk editor
695,Eggel fit 3 harganya uda digoreng 
696,"Give away dong bang, buat ngajar listening di kelas "
697,AKHIRNYA YG GUA TUNGGU2
698,Buat lagi dong yang under 1juta Vid.
699,"12:55

Dicoba pake colokan bang jangan pake batre siapa tau bisa lebih ngebass kan daya dari batre ga sama kayak daya dari colokannya, mungkin hasilnya bisa beda"
700,"Gegara david, harganya jadi 399 beneran wkwkwwk"
701,"Bang David, tolong bikinin tutorial rakit tv jadi monitor pc. Merek tv saya itu, Aquos / Sharp 24 inc. Apakah itu juga bisa memakai cpu mini ? Bang david tolong buatin bang. Soal nya saya masih pelajar "
702,Bose harga berapa bang 
703,Itu jbl go 2 yg 50 ribuan coba cek ulasan yg udah beli di tokonya
704,"Bang buat konten ""MIFI PENANGKAP SINYAL TERBAIK"""
705,baru cek lagi di tokped ternyuata eggel fit 3 nya sudah sold out semua bg barangnya diborong xixixixi
706,27:05 part terngakak wkwkwkkw
707,"akhirnye gue bisa beli motor baru, makasih yang udah nyaranin gue maen di🅳𝗢𝗞𝗨𝟲𝟯𝟯, i say thanks for you broo!!!"
708,robot itu saya beli juga emang nyari jamnya aja wkwkkw
709,Tetap enakan Walkman 
710,"Coba ngetest nya pake Dangdut yang Gleeer bang.. 
Langsung keliatan "
711,Guru bahasa Inggris ngakak di pojokan denger enjoy hear you
712,saya ngakak sih speaker yang plus microphone berharap di tampar mas david sampai mental dari meja hmmmmm padahal saya ngarepin di tampar
713,habis konten hpnya kayaknya.. jd nge review speaker skrg.. besok2 tws.. hehe..
714,BANG REQUES REVIEW VAPE BANG YANG HARGA 500K KALO BISA SAMA TEMEN YANG NGE VAPE
715,"Jbl go2 nya kw bang kayanya, harga di officialnya aja masih di angka 300 an"
716,bang david gua tantang lu buat build pc 2 jutaan yang kuat recording
717,Rieuw antena di Bulan in yg paling bagus untuk TV androit ap Bang???
718,"Review waterboom 2 dan vivan 2 bang, soalnya  saya baru beli"
719,48:00 mantep ni bass nya kerasa
720,"Dari durasi yang culup panjang ahirnya jatuh hati pada eggel fit 3, pas mau beli Eggel fit 3 habis barangnya , tidak di restok restok parah, mending egk usah di promoin bang kalo egk bisa di beli , PHP ini namanya "
721,Epik momen 13:02
722,Konten ginian seru juga ternyata
723,"hati2 itu Merk JBL bisa tuntut anda, hati2 review barang kelas JBL adalah kelas dunia. produknya juga bagus2 ga kaya tg divideo"
724,nyari yang tanpa batere langsung kabrl power apa yah?
725,Mantap bung...cuma bgt cek di website...habis sebagian brgnya.......
726,Saya suka konten konten gabut seperti ini
727,"SEMOGA SEHAT SELALU YA KAK, SUPAYA BISA MENGHIBUR KITA LAGI. BTW, SEMOGA GAMEPLAY KU JUGA DAPAT MENGHIBUR TEMAN-TEMAN SEMUA. TERIMAKASIH.   "
728,"34:42 Acome
24:22 Eggel fit 3
Jjk buat nanti"
729,"47:59 : Jelas sudah beda kasta dong, harganya saja terpaut berkali-kali lipat "
730,"joyzeus 80 RB tipe c, suara Joss "
731,REVIEW Devialet Phantom semua jenis dong
732,"Buatin banyak shorts nya bang david mode oontz, david mode matsuyama"
733,gw mo komplen bang... gara2 konten ini... harga speaker yg di atas meja elu itu... semua nya naik harga
734,"Barusan gw depo 150K di🅳𝗢𝗞𝗨𝟲𝟯𝟯 ,  main 1 jam aja. di kasih win 3jt dong anjirr, lumayan lah buat malam mingguan. ehehe "
735,"eggel fit 3 barang udah mahal dipasaran ya, diatas 200 semua, 250 lebih malah"
736,"Speaker apa yg cocok buat muter lagu ""sikok bagi duo"" ngab?"
737,"tanggal tua, tanggal muda. gak pernah takut lagi gua main di🅳𝗢𝗞𝗨𝟲𝟯𝟯 selalu terbaik lahh "
738,"Bang, coba earphone/iem terbaik dibawah 500 rb terbaik dong"
739,27:00 part terkocak
740,"Bang itu jbl go 2 nya KW wah jbl gak kyk gitu bang wkwk 
Coba cek official saya bandingin fisik speakernya"
741,"kirain udah sering menang di🅳𝗢𝗞𝗨𝟲𝟯𝟯 gaakan dikasih lagi, ternyata setiap minggu gue dikasih menang mulu broo, gokil emanggg. lu harus coba main sekarang "
742,Judul lagu waktu test apa bang share dong hehehe
743,"Coba bikin video headset dari harga 15rb - 50rb,"
744,"37:01 itu speaker JBL KW bang david, kok bisa sih team riset/ yang beli malahan beli produk KW begitu atau bahkan mungkin gatau klo itu KW? , JBL GO 1 aja 300 an, itu udah jelas sy uda cek di tokopedia sellernya itu OEM , tolonglah iqbal atau team yang beliin barang buat di review DIEDUKASI LAGI, buat cari barang yang benar, agar tidak menyesatkan masyarakat."
745,Bang buat konten speaker bluetooth mini masalah jangkauan jarak jauhnya bang.... Kami komunitas pikat burung butuh jangkauan jauh....siap bang....ditunggu
746,Next Fan cooler hp 200rb an bang... 
747,Judul instrumental buat test speaker apa bang David...
748,gue yang ga ngerasain bedanya bilek:
749,Acome A16 belum bang gue jadi penasaran menurut pendapat lu
750,GMC juga worth it bang
751,Bang review in TWS yg bagus lagi dok 
752,"Untuk review saja harus beli banyak, nnti selesai review dikemanain mas.. saya mau mas.."
753,Cobain RCF HDL 6A bang...
754,"Krn review mu., acome a10 jd gila2an harganya... "
755,JBL rajanya audio
756,"jbl lama tu uda dri jaman om saya,mungkin go3lebih baik"
757,"Nah pas nh,perlu buat berburu dll "
758,ACOME A10 langsung naik harga
759,Acome A10...let's goo
760,Coba yg dri brand soul dong min
761,team EGGEL masih unggul SEMANGAT......:)
762,"Ada yang tau nggak tempat atau distributor speaker kimiso 
Speaker bluethoot yg murah ?"
763,bang david bahas bluetooth speker lagi
764,"JBL store di tokped JBL Go2 gaada yang 100rb an rata² 300rb an, kenapa disini harganya anjlok 194rb? tim nya beli dimana? atau itu kw supernya?"
765,Sepeker ku tuh mitsuyama suaranya mantep
766,Speaker penutupan yang terakhir itu 5 jt.an tha bang david ? 
767,"Gara gara nonton video ini jadi kepincut EGGEL fit 3, sdh beli lumayan bagus harga murah batre awet & tipe c. Harusnya beli 2 buah biar bisa stereo."
768,Jadi dari semuanya yang paling bagus yang mana vid?
769,Gw pake mifa...kecil dan mantab
770,"Bang speaker yg udah di review apa dijual buat kami,krn kami lebih percaya sama abang"
771,"Medadak 209rbu jadi 300san gara"" review gini wkwk"
772,Bang david kalau saya lihat JBL GO2 kw(palsu)bukan asli di lihat dari.body belakang klu original mulus gak ada sambungan body
773,Lumayan buat ganti ganti hehe
774,"Acome A10 udah abis stok nya, untung sudah sempat beli 1. Ada yg jual harganya 2x lipat di tokped "
775,"ngga nyobain speajer merek JETE bang,...  ada deep  bass.nya"
776,4connect qq200 pro juga bagus
777,Saya nnton sampe abis padahal speaker hp saya rusak wkwk
778,Acome senyam senyum melihat ini 
779,"Stock nya abis semua yg recommend.wkwkwk
Padahal lg mau beli."
780,"Mau beli Eggel tpi di kota ku blm ada, paling mentok juga Robot"
781,Bg itu acome seri berapa ya dicari cari olshop gak nemu
782,tes soundnya pakai lagu apa aja itu bang?
783,Bang review kepala charger yang Rp 300.000 kebawah dong bang
784,"Jbl go 2 ori paling murah di angka 350 ribuan ya, ko ini bisa dapet 194? Keren"
785,Bose dah gak ada lawan  beli dari 2015 sampai 2022 masih renyah ajaaaa.. Ehhhh...
786,Bg david @gadgetin itu speaker yg terakhir BOOSE Revolve II ya ?
787,"Itu lampu di belakang warna item bentuknya ngerucut apa namanya ya? Beli dimana, ada yg tau?"
788,ga ada brand Logitech dan altec lancing.. kurang dah pada brand2 ga terkenal.. ga ada pilihan
789,Gw penah comba vyata harga 200k+ bas y mantep suara y ok tahan lama tapi cepet rusak gx nyampe setahun kurang lebih 7bulanan dah problem di batre dan setelah setahun blutut y kaga mau mati suara y lebih ok kalo mode aux
790,"Sound DJ yg sering di pake tik tok, 22:53"
791,aku sebelum beli speaker bluetooth tonton sini dulu
792,aku sebelum beli speaker bluetooth tonton sini dulu
793,"Speaker GMC 881B cukup sih bagi gw. 
200ribu ok"
794,"Om Dapid, om kevin, JBL produk OEM tuh bukan Ori. Kaga cocok dibandingin klo oem"
795,"Gw berharap ada review si mifa+ dari bang david,eh gda lgi si mifa nya"
796,"Bang bisa bagi link spiker kinsoli nya, tak cari2 kok gak nemu"
797,Yg harga 6jt itu merk apaan bang ? Kurang jelas dnger nya hihi
798,Kontennya sangat bermanfaat
799,"tetep yg pakai aptx hd, ldac codec yg suaranya enak didengar"
800,coba speaker merk LENYES bang david...
801,gua punya akg s30 mantap suaranya cuma bikin penasaran jadinya sama sonos move lol
802,Baru sempat nonton haha eggel nya langsung habis
803,"Pengen beli kok harga yg di sebutin gk saya temuin, mahal bgt hampir 2x lipat.

Apakah karna di review langsung lompat tu harga."
804,Gan speker bluetoth merk Zbok bsterai tahan brp jam... ?
805,"12 hari kemudian, status penjualan di official store untuk eggel fit 3 statusnya sold out alias habis terjual ️"
806,Spiker robot rb 420 selalu di hati
807,acome a10 harganya naik drastis
808,Gmc 881b ga masuk ya. Padahal manteb bet sih
809,untuk kimiso pasti gk mksimal karna terbuka gk rapat
810,Komplit  nih 20 speker. Di temani kapal api.. . Kapan ya kapal api kirim ke saya kopi nya.. untuk bekal ngopi Di kebun..
811,"setelah diriview harganya naik semua sia"" ngumpulin duit"
812,Saya beli jbl go 2 tpi yg kotak kena harga 300lebih suaranya bagus ga kaya itu
813,Link Acome a10 nya beda bentuk dan harganya. Yg di video ini harga nya 304rb. Gak ada 209.000 wkwkwk
814,12:26 Keren bisa radio 
815,Acome a10 harganya digoreng... Dipasaran harganya udah gak masuk akal
816,Coba diffuser dong banggg
817,Rosting dikit . Pake topi dengerin musik bang vidda David 100% kembaran misterben
818,Diantara 14 di riview…belum ada nandingi eggel.
819,"Penilaian nggak fair, seharusnya barang ditest tidak secara langsung menyentuh meja. Bisa pakek lipatan kain tebal."
820,Eggel fit 3 mulai langka dan pda naik ️
821,bang daripada itu barang ga kepake mending di dropshipin aja bang.. ntar gua ikut  ngonten skalian jadi suplaier kan bagus.. itung itung ngasi kerjaan buat orang kek gua.. jangan di give away 
822,"Speaker yang ada mic, gak fair testnya. Masa kondisi kebuka gitu. Namanya speaker butuh chamber buat amplifikasi suara. Maaf kalau salah."
823,Punya saya JBL charge 4 ngga pernah ngecewain
824,"Merek  Harman Cardon Yg bagus kak,, Mantaps"
825,Review Speaker lenyes S108 bg 
826,Ngeliat nyeruput jd pengin ngopi jg
827,"Contoh david,  yg outfitnya ttep simpel di setiap kontennya.
Gk kaya anak citayam"
828,"'' pilihlah sesuai promo "" 

David"
829,Sleksi speaker bluetooth 
830,Info 3 lagu yang di pake bang david judulnya apaan 
831,Yg dipake dimenit terakhir merk ap Bang
832,Nah yg ki sound lii yg ku suka
833,Baru mau cek harga a10 udh 400an :(
834,Beginian harus di tes ketahanan nya juga
835,BanG reveuw produk speaker blootot VYATTA ULTIMO HITZ . Juga bantu pemasaran nya . 
836, Gilingan penutup pake bossee.... Ya yg lain ku menangis... Beda kelas...  
837,Coba cari merek muzen kak.
838,"eggel fit 3 gara"" ini habis woyy"
839,Jbl go 2 harga resmi di angka 300 ribuan. Dibawah itu udah pasti KW!!. Kecuali kalo second. Parah sih temenlu bg nyari yg kw
840,Lespeaker bluetooth merek GMC gak ada bang?
841,"saya punya eggel terra 2, pembelian 2019, dan di tahun 2022 ini karet tombolnya jadi keras dan hancur
,"
842,"Pake music Hardstyle, Rawstyle Auto Kickrolls"
843,Speaker aku robot bang . Tapi RB 480 sedep si bang untuk ukuran speaker blutot
844,Bang cb revisi speaker merk BK series
845,Tim acome a1 a5 hadir dr 2019
846,Mantap bang 
847,"Acome a5 tampilan doang lubang speaker 2.
Pas di bongkar isinya cuma 1 hahaha"
848,Pengen dikasih satu bang
849,Pasti banyak jadi bahan meme
850,Recommened nih channel 
851,Bang barangya itu dijual kembali atau diapakan yak 
852,"punya saya yang blutooth vivan vs12
dirumah saya"
853,"tuh eggel stela di review, lgsg gk ad stock ya dan harga ny gak ad yg 159 wkwkwk"
854,konten projector murah bang
855,Saya beli speaker yg gede itu 70 rb bang mlh
856,Kak bahas rekomendasi TWS terbaik 2022
857,cobain lagu ini yg tiap hari ku putar jebol gak tuh speaker nih Leona Lewis - Bleeding Love (Jesse Bloch Bootleg)
858,"Gue barh beli speaker  Acome A05.
Barangnya langsung rusak setelah pakai 2 menit, speakernya ngak ngeluarin suara sama sekali..."
859,"Advance T101-103BT dong, penasaran saya wkwk"
860,JBL go 2 gak salah tuh under 200k??
861,EGGEL the best
862,yg eggel susah amat cari barangny
863,Keren spiker ny
864,Itu yg buat tes pake lagu apa sih bang?
865,"Itu jbl go 2 kw yg ori 700rb aku belinya, dan ada lisensi yg itu tidak ada"
866,"Akhirnya sekian lama ketemu juga cancel nya,takut kehilangan cancel nya mending subscribe"
867,Oke tq bang david next saya mau beli Speakrr Eggell fit 3
868,lagu buat ngetest yang acoustic cewe nyayi itu judul nya apaan ya ??
869,wah engga Ada VTIN Q1 yaa. padahal mo Liat dengan harga kepala 1 kecil alias dibawah 150an. reviewnya bakal gimana yaa...
870,Bagus acome a1 atau sakumini y6?
871,Q mau donk kak speakernya
872,Mungkin yg di maksud bang david brand EAGLE yg bangkrut itu EAGLE sepatu bukan EGGLE speaker
873,JBL 
874,Kalau gua suka HAVIT.. manusia bass ny
875,gila stock auto abis dan harga auto naik.. capek
876,Review jbl partybox 100 bang dan menurutmu jbl apa logitech lbih bgus
877,"Bang coba repyu lenyes s812,,comper SMA eggel elit XL,,"
878,Aku beli speaker yang 90 ribu itu 2 tahun lalu 50 rbu bang
879,Moment cek eggel fit 3 udah 200rb+ ohmagah
880,Gile... ini mah keren bang
881,W mau beli speaker...jd hrs liat review dlu...biar gk slh beli
882,Yang kisonli ko rada mirip kotak amal ya 
883,"Semenjak di angkat disini, kisonli naik harga jadi 375 wkwkwkwkw"
884,"Kak, review brand mifa kak"
885,song yg dipake nyoba sound apaan bang?
886,Awas bro gula aren bikin candu cukup gw aja yg rasain
887,Saya punya dirumah merek GMC gak bisa diragukan suaranya
888,"Saya youtuber pemula 
Suka ngedit
Saya upload 2 minggu sekali
Konten  vlog 

Saya butuh dukungan dari kalian semua️️"
889,cobain humbird speaker bang
890,Judul lagu yang nomer 2 itu apa ya?yang  I wanna be...
891,Judul lagi yg di pake bg david itu apa ya?
892,47:35 speaker merk apa?
893,"HARUSNYA KALOK BELI JBL ITU HARUS DI OFFICIAL STORE NYA LANGSUNG MANA ADA JBL HARGA SEGITU, SIAPA TAU ITU KW SI"
894,Di lelang gak bang itu speaker nya...  Apa buat give away
895,Bang review proyektor mini dong
896,Mau cari speaker yg bisa buat mikrofone yg bagus dong
897,Bang tolong review PMA Polytron seri 9507 donk... Sepknya 
898,Bang coba review webcam under 400k
899,Mantap bang
900,Selamat pagi Bo's makasih vidionya mantab Di jawa Timur seperti BLM Ada bos
901,Robot rb100 manteb batrenya kuat seharian
902,Penasaran sama lagu yang ditest bang david ..
903,Ngakak pas ada mic nya
904,Budget 500-1jt dong bang
905,"Kok merk LENYES gak ada, padahal bagus"
906,"Lenovo thinkplus k3 donk, lain kali.. "
907,"Nyesel telat nonton eggel fit 3 lgsung abis, did shopee pungk ada"
908,"suara trbaru habis minum kopi dri David
 ssssrrtt = aahhhh 
ssssrrtt = woahh
ssssrrtt = Ok"
909,agak kurang kalau gak play safe and sound
910,jbl go2 original 450-500 .190k kw
911,Epic momen 27:14
912,Bang review Speaker Bluetooth Lenovo K3 Pro dong
913,menit 26:00 itu patah jadi basnya gak powerfull btw kalo naek bis umum byk pengamen karokean pake ni spiker btw asli ngeselin suaranya mendingan pengamen kecrek tutup sosro
914,"ko, kalo bisa coba review sonos move lawan hyperboom"
915,Coba spekers bluetooth soaiy bang
916,"Bagi dong bang satu ajja, buat play musik pas lagi nongkrong sama tmen²"
917,Beli barang banyak banget bang ...habis itu di jual lagi ato gimna bang
918,acome a10 nya beda pas buka link tokped nya
919,Ada yg tau song nya yg di pake buat tes sound david ?
920,Yg direview positif harganya naik.
921,tws nya dong bg 
922,Judul music/lagu yg lu pake untuk tes sound bang
923,Fix JBL GO 2 positif barang kw 10 wkwkkw
924,Hmm baru mau beli eggel fit 3 eh udah abis stoknya
925,Di kemana nanti semua barang itu kk
926,JBL ori itu bukan nya diatas 300 bang
927,Mifa 10 ama Mifa 7
928,Bang eggel fit 3 baru d review langsung naek skr jd 299k gila dr 159k jd 299k
929,judul lagu yg pertama diplay apa ya gan? 
930,"Merk jete kok gak masuk review, padahal garsnsi 2 th om"
931,Acome jam dipakai 2 bulan dah rusak 
932,"lenyes 806, eggel terra 3 mini"
933,"Baru nyadar, kl situ pake make kaos MH nasi 
Mabar yuk, lor, eh, blm pny NS ding 
Btw, ekspresi mu menjelaskan segala hal 

29:11 belum sebulan g beli spiker acome itu lor, dpt diharga promo 84rb dpt bonus perdana smartfren pulak 
Dan alesan g beli spiker ini krn slaen spiker, g butuh jam digital+alarm (Dua alarm) dan bisa utk kaca juga, ada radio juga, ada suhu juga, dan bisa denger musik via memori juga, selebih e ga mharap lebih dari kualitas output audio e. Oia, dah Bluetooth versi 5, jd guampsng bgt konek e.

35:20 alih-alih JBL seri GO, g malah beli seri Clip, Clip 2 tepatnya, berburu k berbagai e-com, dan dpt edisi spesial varian Zap (kuning-biru), dot di harga +-400rb, krn emg brg e dah discontinue. beli krn bukan cm merk JBL nya, anti air nya, tp krn Clip 2 pny jack audio 3.5 yg nempel dibelakang body. Carabineer model segitiga, Dan bass e punchy. Dibanding seri Clip 1, atw 3, inilah alasan g beli Clip2 (jack audio tadi). Sayang e, getas dibagian penutup port charging dan carabineer (walhasil g lem pake lem Korea, biar bisa dicantolin k tas atw celana). Yah krn emg model lama, dan mgkn masuk gudang si seller dah.

45:22 spiker e sama persis keq dari Xiaomi lini spiker, MiFa H2 deh. Sama persis. G tau ya krn g punya. Dan koq sama persis ya antara kualitas merk Xiaomi dan ECLE ini.. sama pabrikan perakitannya kah?? Entahlah.

Btw, ngomongin spiker BT kisaran 300rb, koq Logitech X50 ga masuk, lor #gadgetin ?"
934,23:00 Crab Rave 
935,Dengerin ini video pake speaker bluetoth SONY SRS-XB12
936,Ada yang tau judul lagu utk test speaker nya?
937,Lenyes jg lumayan bang
938,"BANG DAVID review spiker ""HARMAN KARDON"""
939,Kebetulan masih nyari soeker mini suara besar
940,Judul lagu yg di pke no2 sma no3 apa ya??
941,"Tambah terus durasinya bang ,, jangan remehin hostpot temen saya"
942,"Minta linknya yg eggel fit 3 yg harga 160rb, sampe mampus udah nyari gk ketemu. Rata2 harganya 250 "
943,"Tpi yg saya beli online nyampe 300 yg speaker tdi copot tuh,mna ga bisa di cas lagi"
944,Itu musiknya judulnya apa aja bang David?
945,Knp gak mau beli vivan vs1 bang harga 125 bassnya menggeleger
946,"22:47 
Bergadang : Elite
Solat : sulit"
947,"Bang

Lagu yg diputar, tiga lagu itu, judulnya apa bang?
"
948,MINTA REVIEW MONITOR DIBAWAH 2JUTA DONG!!!!!!!!!!!!!!!!!!!!!!!
949,Bang ripiuuuu... Jbl yang ori dong mau beli tapi takut dapat kw
950,Ini ada bang kalau mau yg nusuk sampai ke tulang . JBL 18INCH 1200WAT
951,yg di beli JBL kw itu wkwkwk
952,bang sekarang coba borong headset yang kabel
953,"Robot RB 100, ok . Thanks bang"
954,"bang david, baju ny beli dimana tuh ? "
955,what do u expect from spiker di bawah 500ribuan ya? ya gitu lah
956,Acome A10 begitu di review langsung ilang di Tokopedianya
957,20:00 rapetin bang speaker nya biar suaranya lebih enak
958,lgsg di bandingin sama dewa di akhir wkwkwk
959,Ane punya eggel elite dan eggel elite 3
960,lagu yanag dipake apa bang buat testnya
961,Punyaku inbex wktu itu beli cuma 100k aja
962,JBL GO2 NYA KW .. HARGA RESMI AJA DULU 800AN SKRG 350 AN
963,Kyk endorse acome 
964,Ah sial gegara pidio ini jdincepet abis lagi  Eggel .bahkan di toko resminya kosong udah
965,Apalah dayaku speaker 50kan doang wkwkwk
966,19:40 gua kira kotak amal bang 
967,"Masih pake sekumini 2 sampe skrng,,"
968,Bangg david bahas pb dong yg awet dan lama
969,"eggel fit 3
toko oren dan toko ijo soldout semua"
970,sy pling sk ma yg merk acome A10 tuh
971,"Yak, Eggel fit 3 udah diatas 250.."
972,Spektum analizernya mana?
973,Bang rekomendasi online shop buat beli PS4 dan tv nya
974,"Yang paling recomen yang mana bang,"
975,Gara² kau bang itu acome 209rb di toko Oren jdi 400 barangny juga kosong 
976,Bagi dong bang satu buat saya...
977,Rekomendasi yg harganya 500 sampai 1 juta bang
978,Omong omong Acome A1 dan RB 100. TWS nya kadang bisa konek walaupun bede merek
979,headphone bluetooth bang
980,coba review spk  bluetoth visio bs03 bang
981,Review nya lucu sumpah ha-ha-ha
982,Info dong mending Eggel Fit 3 atau Acome A10. Bingung mau beli yang mana.
983,kirain ada vivan vs1 nya huhu
984,"Headset bang, coba merek ROCKET"
985,mau beli yang eggel tapi habis anjir
986,"bangg,  review Onyx Studio, apa aja deh, yang penting onyx studio"
987,Cek sond nya pake dj lah bang
988,Bang coba review laptop .. asli saya belum paham sama  merk² laptop² yg bagus
989,mantap bang   et....
990,22:54 yg skrg di jadiin sound
991,Bang Kok Gak Coba Lagu Dangdut 
992,Review spiker jete bang
993,Btw tu yg mitsuyama ane juga punya dpt hrga 110rb anjir udah ongkir
994,Review speaker bose bang
995,team spiker kaleng
996,Bang tes tws jabra  dong..
997,Cbain eggel bbrp type dan acome bbrp type bang
998,"eggel dong, kelass harga pass ..."
999,Itu pake lagu apa yaa ngetesnya?
1000,bang bikin gini versi smartwatch dongg 
1001,Ultimate ears wonderboom dong bang
1002,JBL GO terbaik sih
1003,"Ada yang pernah pake Vivan VS2 gak?,dan suaranya gimana?"
1004,"lenyes bang, harga 3rts kualitas yahoot"
1005,"Acome di bacanya akom.o ya,pantesan saja suara ny begitu.ternyata JBL GO2 KW.dan harga nya juga lawak.kalo ori mana ada harga segitu."
1006,"Coba Merk LENYES Bg,
Dijamin dah"
1007,Yakin itu gula aren asli?
1008,"aku cuma mau ngasih tau,klo
SPEAKER ROBOT 530 LEBIH BERSIH BASS NAMPOL,ASLI:)))"
1009,review eggel terra 3+ donk
1010,Bang ngomong² itu jbl nya kw gua udah cek ke toko nya kalo yang 100% ori harga nya 300 san
1011,Sayang lenovo thinkplus gak masuk
1012,Untuk speakers ini nggak di lego bang..
1013,JBL GO2 nya KW ituuuu
1014,Wah ada jual gorengan nich 
1015,bang coba review sound Jawa timur
1016,Kak Kevin boleh minta nama lagu yang di puterin gak
1017,Sayang ga ada wonderboom
1018,Bang Kirim 1 yang ada Mic Nya Buat Ngajar Belajar
1019,Acome bang murah tp gak murah an suaranya
1020,funfact gelasnya gada kopi
1021,22:56 yang kalian cari-cari
1022,Merk music c19 bassnya nendang sayang gak ikut di review
1023,bang yg JBL kayanya kw deh
1024,Nunggu acome rgb dijual
1025,Bang ganti review bluetooth tws buat gaming
1026,Yg spiker kimiso itu untuk acara wkwk
1027,Bang klo udh di reviuw spkerny di kmnain.. klo gk ke pke gua mau 1 
1028,Ekspresi salah tebak yg bikin ngakak 
